	GSM279601	GSM279602	GSM279603	GSM279604	GSM279605	GSM279606	GSM279607	GSM279608	GSM279609	GSM279610	GSM279611	GSM279612
228592_at	5845.5	5940.3	5805.8	13710	13941	14308	7022	7331.3	6075.9	9958.6	9430.1	9503.2	
228625_at	5364.7	5781.8	5421.8	2757.1	3624	2750.3	3650.2	4466.5	4062.1	4788.7	4841.8	4799.6	
228636_at	4471.5	4586.4	4708.3	2963.8	2600.9	2862.3	4496.7	4557.1	4409.3	4944.3	4651.8	5078.1	
228737_at	475.55	478.36	486.21	1045.1	926.72	1064	1632.6	1495.7	1194.9	783.79	1201.9	943.93	
228758_at	141.6	235.05	119.51	249.1	223.82	309.18	118.19	148.85	89.34	259.79	164.09	304.24	
229147_at	745.61	783.52	791.25	2081.4	1717.1	1985.4	573.56	521.37	512.72	1052.1	1244	1160.4	
229159_at	507.59	564.92	508.39	342.16	267.44	356.16	507.87	615.76	414.19	554.58	786.08	666.69	
229309_at	1386.5	1447.9	1420.4	956.08	783.25	981.57	1665.3	1475.4	1435.6	1490.3	1780.5	1680.6	
229552_at	13.861	23.815	23.968	14.53	16.153	19.23	9.837	8.117	9.514	18.846	11.744	16.291	
229580_at	214.98	207.47	368.6	157.69	130.57	173.67	242.11	235.96	316.56	405.75	316.61	343.72	
229598_at	8.105	45.573	7.642	101.58	99.192	108.53	6.619	16.786	12.882	12.997	36.101	57.978	
229638_at	7452.3	8681.1	7182.6	4069.3	3183.4	3698	5051.1	4058.6	4287.3	4861	5245.3	4839	
229973_at	853.17	806.75	791.79	2720.5	2419.5	2573.1	2252.7	2304.5	2498.1	1593	1749.7	1810.2	
230135_at	244.75	203.29	381.66	109.56	111.98	148.47	103.62	77.122	76.193	41.505	19.12	14.975	
230193_at	125.46	142.73	231.16	249.56	377.26	288.2	65.254	137.54	12.672	169.81	184.01	233.34	
230218_at	64.197	118.64	201.09	415.74	556.56	387.57	634.15	686.12	884.03	459.01	499.78	509.3	
230233_at	162.65	178.82	166.95	524.26	456.99	518.57	133.92	177.03	141.3	423.24	427.23	355.6	
230493_at	652.85	663.46	608.46	187.22	131.73	199.93	79.399	71.398	43.421	49.996	59.308	21.163	
230550_at	955.56	888.1	917.78	457.59	426.9	463.34	742.01	757.91	745.57	877.11	951.47	840.08	
230624_at	201.64	177.09	197.42	331.96	284.15	372.53	110.96	112.48	111.29	240.65	223.03	310.11	
230625_s_at	22.575	54.283	36.092	196.89	299.16	243.62	696.54	751.62	623.04	445.31	276.9	289.84	
230650_at	127.91	90.834	103.48	315.88	278.06	289.4	358.29	366.06	457.55	213.48	302.27	244.72	
230673_at	219.72	160.21	171.79	385.43	423.21	410.28	448.91	504.19	447.14	318.27	373.86	381.46	
230788_at	627.52	521.65	445.94	1452.5	1293	1487	507.81	497.55	471.75	896.81	901.43	873.67	
230876_at	55.157	40.263	10.383	119.97	100.25	61.525	98.95	107.92	98.044	50.904	57.119	95.905	
230900_at	77.623	43.496	55.834	91.969	119.5	126.15	8.345	35.463	81.288	77.444	75.925	71.136	
230958_s_at	81.709	105.02	140.47	204.64	136.09	330.36	76.879	139.17	115.87	164.49	196.72	177.79	
231040_at	185.35	277.96	314.38	88.935	94.137	123.62	83.646	32.648	85.981	19.251	46.079	91.617	
231093_at	820.4	825.7	929.48	2414.1	1799.8	2236.4	439.85	482.53	517.41	1295.2	1375	1245	
231120_x_at	406.41	391.13	361.14	222.27	143.17	235.86	418.91	350.87	317.72	368.14	579.84	374.02	
231131_at	268.93	295.41	290.79	853.01	652.35	830.57	1304.4	1535	1538.7	826.73	961.54	710.19	
231175_at	98.819	105.89	113.81	52.944	40.271	65.766	32.493	56.502	27.272	38.003	38.991	62.642	
231219_at	144.26	66.582	74.362	4.397	30.638	6.116	16.011	18.216	21.743	5.51	19.508	5.89	
231307_at	45.727	8.535	4.796	143.57	155.92	206.87	253.15	247.85	198.03	149.78	209.71	201.14	
231442_at	88.141	49.108	25.207	157.35	29.698	109.54	90.076	55.484	17.317	117	97.89	68.142	
231786_at	426.36	284.72	287.79	230.61	235	264.43	280.07	296.85	313.44	279.26	446.58	252.27	
231798_at	186.49	144.72	249.05	156.69	115.82	106.22	10.264	22.399	87.585	12.422	52.418	9.623	
231804_at	343.81	385.02	348.28	237.46	209.9	209.98	310.33	323.69	313.07	374.25	445.05	379.5	
231841_s_at	218.91	219.78	258.67	136.92	125.46	109.59	251.64	191.15	116.78	157.76	222.96	201.05	
231935_at	317.17	321.46	237.4	136.02	120.35	253.69	49.216	21.258	63.864	13.47	17.806	127.38	
232080_at	321.38	315.13	272.99	891.88	939.79	957.43	1081	996.31	1079.7	558.99	653.72	591.86	
232231_at	1727.5	1941.3	1629.5	1010.3	820.44	940.49	1654.5	1592.5	1309.6	1648.5	1905.2	1801.7	
232232_s_at	1440.2	1551.4	1461.7	1072.2	808.86	807.7	1484.5	1443	1473.8	1586.9	1785.2	1707.6	
232234_at	523.42	575.64	613.47	265.74	341.85	234.15	160.28	123.36	48.401	27.868	41.727	51.091	
232618_at	203.22	233.1	222.61	287.85	212.84	231.17	190.4	164.21	150.3	234.96	277.07	266.82	
232739_at	207.13	205.87	236.34	267.8	189.04	403.11	33.227	98.146	176.69	233.79	207.11	159.82	
232752_at	214	220.09	184.94	85.013	110.99	72.783	35.692	43.576	63.723	33.745	44.399	11.287	
233500_x_at	491.46	527.85	425.22	1139.2	1258.7	1046.5	319.48	400.36	366.04	635.03	629.93	824.4	
233512_at	41.305	16.161	17.465	101.07	22.338	108.17	72.862	189.29	136.06	87.007	118.16	117.26	
233587_s_at	438.7	440.52	381.76	196.54	149.2	175.68	103.03	117	138.97	94.496	107.62	163.86	
233814_at	183.52	254.95	195.24	613.75	428.98	429.09	803.03	873.28	971.87	528.33	492.03	524.15	
234307_s_at	213.03	256.4	251.81	85.57	21.77	59.527	59.487	16.079	111.04	11.314	12.089	15.887	
234994_at	218.21	182.33	167.12	745.79	579.58	655.82	1150.2	1258.3	1240.1	635.69	927.18	826.89	
235059_at	130.93	220.94	161.51	436.28	425.06	372.7	97.637	103.62	67.154	234.87	194.43	124.24	
235275_at	7520	7118.7	8230.9	5267.8	4338	4913.3	7318.8	7553.3	6884.4	7723.8	9057.1	8483.6	
235383_at	1621.3	1651.8	1595.8	270.81	314.17	273.79	28.261	25.011	126.22	26.071	22.554	18.461	
235385_at	4.331	30.852	12.162	25.745	12.832	51.468	4.413	2.583	2.012	13.742	23.956	30.982	
235400_at	800.47	733.09	699.73	2212.4	2054.5	2041.9	574.46	724.03	1247.7	1167.3	1163.5	1175.5	
235401_s_at	954.13	1049.2	1146.6	3220.6	2388.5	2725.4	922.42	1025.7	913.09	1722	2101.5	1702.3	
235522_at	141.61	181.84	143.32	260.6	280.74	314.68	108.92	56.277	29.689	176.78	243.6	243.61	
235549_at	90.009	121.92	126.6	202.24	205.07	210.82	8.423	37.668	72.153	177.96	164.26	128.37	
235557_at	47.409	113.92	83.976	178.61	276.56	224.66	81.943	116.19	93.798	117.27	131.37	224.3	
235574_at	14.833	6.176	48.609	15.501	11.691	15.238	138.26	201.44	218.13	36.159	137.04	128.74	
235593_at	452.58	472.49	495.27	282.79	221.83	329.34	462.98	423.12	359.66	407.16	586.28	522.2	
235638_at	338.09	427.07	443.48	884.79	780.78	659.16	259.73	318.26	242.04	445.64	521.81	506.03	
236191_at	272.08	289.38	390.22	591.35	567.81	509.05	361.18	275.2	336.97	564.99	370.62	539.89	
236280_at	252.16	331.44	301.31	1097.9	865.69	984.62	1649.5	1630.1	1589.8	871.12	1151.1	1035.1	
236351_at	1128.2	940.26	1097.5	264.44	269.5	294.73	83.488	46.077	109	72.202	125.32	50.282	
236632_at	2257.2	2052.9	2199	644.8	627.37	590.72	171.02	312.32	133.66	41.781	188.78	41.881	
236681_at	715.63	573.79	631.09	300.62	351.77	360.42	31.604	35.916	108.55	63.621	94.435	107.02	
237265_at	816.82	521.46	571.42	333.75	217.56	262.05	516.67	490.93	577.58	464.97	550.87	620.65	
237466_s_at	222.19	156.92	118.23	18.496	19.259	20.783	16.346	37.034	5.942	26.031	13.172	10.072	
238206_at	528.24	459.62	473.27	264.34	243.31	315.73	543.86	510.7	414.02	493.58	577.57	457.47	
238365_s_at	1607.3	1866.4	1459.7	664.93	614.92	609.65	1899.8	1411.5	1059.6	1739.1	1499.9	1561	
238605_at	114.67	83.486	101.17	294.29	207.07	307.87	740.77	651.52	448.04	373.99	429.36	295.27	
238674_at	172.99	148.54	105.52	193.42	175.97	216.47	125.21	130.6	87.511	118.13	160.12	103.56	
238692_at	160.93	160.94	147.66	61.316	18.408	68.419	35.22	38.701	14.533	69.257	26.776	46.993	
239012_at	797.95	441	565.86	1169.5	1344.3	1553.2	269.02	540.15	779.41	824.61	614.23	818.92	
239108_at	630.6	654.7	607.31	370.12	274.81	301.83	523.93	570.68	575.49	543.03	644.07	633.65	
239178_at	123.6	127.13	124.28	41.391	43.293	47.519	16.048	9.618	14.668	15.054	1.396	17.978	
239292_at	43.116	39.513	36.467	185.93	141.3	111.1	9.616	56.262	37.493	95.509	116.78	50.115	
239481_at	481.4	439.77	463.27	1124.4	930.33	1029.7	1901.3	1621.1	1516.3	1094.4	1184.7	1042.8	
239503_at	310.58	330.41	278.23	234.53	208.46	219.59	279.38	333.67	284.39	326.24	400.99	317.82	
239913_at	589.13	734.24	536.68	369.52	320.12	324.91	645.74	589.65	463.61	577.33	687.4	533.03	
240915_at	358.12	490.45	308.11	542.63	432.3	569.55	221.96	284.79	192.05	419.48	484.51	324.36	
241365_at	1032.6	1334.2	1099	706.66	604.55	636.58	756	938.04	828	847.92	963.47	1004.4	
242277_at	413.36	452.52	467.77	269.06	262.64	278.82	453.81	432.39	445.14	531.98	512.3	526.58	
242301_at	368.68	443.42	376.71	751.03	882.69	787.98	1648.3	1738.9	1862.6	1171.2	1022.4	1159.5	
242334_at	205.9	173.59	204.18	397.39	349.77	449.6	103.84	88.022	85.585	316.29	266.54	252.33	
242520_s_at	923.19	990.82	749.41	367.48	375.87	440.24	802.77	667.2	731.25	784.9	815.29	816.41	
243110_x_at	157.22	157.66	123.91	8.9	4.231	3.493	1.855	2.69	2.476	3.278	1.857	3.376	
243753_at	384.52	269.06	200.37	831.57	755.04	715.76	840.41	700.21	1017.6	507.15	574.43	547.99	
243756_at	239.2	226.96	243.17	140.32	159.39	171.07	240.53	261.7	285.62	262.71	356.85	305.86	
244040_at	236.84	317.71	371.25	539.76	610.62	536.94	145.98	195.27	168.5	356.59	347.49	412.96	
244413_at	554.1	596.4	501.95	1422	1226.7	1384.2	483.07	477.38	443.85	853.46	1016.1	986.65	
244644_at	532.28	512.62	519.02	1597.5	1370.9	1304.3	2462.5	2590	2492.3	1393.7	1477.6	1384.6	
244887_at	290.17	275.06	248.81	847.34	673.07	628.8	236.87	246.64	264.14	427.58	452.57	394.34	
31874_at	787.7	834.51	949.92	203.09	255.79	259.12	138.22	154.55	150.63	136.15	129.56	123.3	
33767_at	733.75	774.06	740.02	393.06	325.06	357.09	691.33	640.08	557.34	696.29	766.23	684.38	
34210_at	1337.6	1156.5	1167.7	2041.9	2344.8	2562	849.16	674.22	747.16	1737.5	1542.3	1854.3	
39248_at	1025	1001.6	1166.4	377.67	277.76	363.23	215.46	311.31	301.05	241.95	274.18	215.71	
39318_at	1743.1	1751.9	2019.5	4133.3	4705.8	3882.7	1399.7	1231.2	1339.5	2924.2	2770.6	2726.8	
40284_at	23.912	74.855	26.489	251.5	217.92	259	414.69	500.52	386.57	264.2	246.87	205.57	
