	GSM279589	GSM279590	GSM279591	GSM279592	GSM279593	GSM279594	GSM279595	GSM279596	GSM279597	GSM279598	GSM279599	GSM279600
230625_s_at	13.514	15.506	11.906	1729	1418.3	1466.9	16.082	35.235	18.897	52.544	19.451	42.261
230650_at	7.589	32.215	7.214	1363.2	793.7	803.8	19.637	39.52	3.659	66.969	24.778	72.224
230673_at	4.33	2.862	2.254	1307.3	871.7	820.82	478.58	529.26	406.72	73.941	2.101	5.787
230788_at	17.146	6.21	5.665	157.49	284.67	367.88	2288.4	2243.2	2245.8	16.138	23.907	12.078
230876_at	13.47	28.949	1.613	425.26	215.03	245.91	7.19	6.154	7.224	13.875	2.814	12.381
230900_at	9.241	8.215	14.041	47.428	3.995	38.912	259.38	315.26	184.39	46.133	7.354	2.754
230958_s_at	12.646	11.604	15.997	4.262	16.526	11.054	421.53	466.47	453.03	75.545	66.439	14.532
231040_at	744.51	1029.7	867.47	68.032	90.114	51.273	2.863	26.086	1.555	45.578	30.184	74.115
231093_at	151.64	26.786	92.36	68.476	38.127	96.525	4841.5	5268.6	5029.9	135.94	130.24	81.722
231120_x_at	18.745	2.231	1.89	18.152	2.593	2.864	5.87	3.274	1.257	728.63	1062	874.88
231131_at	25.561	6.201	17.106	4244.8	3349.1	3290.3	18.25	12.268	4.775	352.9	14.182	158.84
231175_at	564.83	471.5	326.84	21.711	3.264	17.848	0.608	32.904	1.207	22.564	39.613	26.724
231219_at	350.89	305.77	276.14	5.651	8.003	14.075	3.345	4.386	4.999	16.646	7.441	6.259
231307_at	3.206	4.163	40.916	596.03	429.46	379.06	3.626	3.02	2.326	5.981	2.651	5.252
231442_at	100.69	6.07	5.832	52.724	7.626	20.387	275.68	369.7	312.33	5.609	14.127	14.831
231786_at	18.072	47.241	91.805	6.908	4.21	4.168	1.498	53.226	3.7	660.24	1026.6	720.79
231798_at	333.82	653.32	420.7	26.73	10.886	29.846	2.508	1.808	48.685	5.598	10.796	12.089
231804_at	4.171	3.869	14.522	6.101	40.445	3.951	25.549	2.58	6.898	941.87	922.74	834.77
231841_s_at	20.877	5.254	17.343	11.932	6.486	4.751	2.201	8.851	5.793	499.25	557.67	504.35
231935_at	1685.1	1276	1000.3	44.624	16.765	18.93	24.422	27.086	59.954	18.724	72.878	26.604
232080_at	47.912	42.066	16.434	4324.1	2466.5	2325.7	299.73	302.61	163	142.43	48.357	126.96
232231_at	301.39	186.34	174.4	9.691	19.003	22.969	6.602	30.884	9.547	3289.4	4212.8	3720.5
232232_s_at	47.493	52.944	16.028	20.243	38.06	22.995	67.885	19.134	14.081	3059.2	3209.3	3003.9
232234_at	1393.8	1122.8	1405.1	28.353	25.492	19.487	21.151	34.653	23.821	126.17	70.709	93.81
232618_at	4.773	4.222	6.17	8.417	5.891	2.899	489.49	385.7	350.67	282.04	268.46	214.89
232739_at	9.781	14.407	41.599	70.074	25.576	15.3	767.83	831.54	477.44	50.531	20.821	17.211
232752_at	702.96	673.02	540.07	6.021	10.371	3.626	3.506	2.774	26.883	52.328	27.737	76.313
233500_x_at	7.707	12.265	13.507	90.284	81.207	67.107	2900.9	2537.1	2601.7	10.176	15.466	30.824
233512_at	34.186	6.294	7.714	492.79	419.52	306.75	4.558	25.539	6.006	52.094	11.364	7.07
233587_s_at	1290.9	1294.7	1280.6	16.194	15.63	80.24	51.305	5.639	17.408	92.676	168.15	125.62
233814_at	7.341	28.025	16.821	2088.9	1872.2	1793.1	5.414	8.443	15.29	126.67	117.51	140.7
234307_s_at	517.57	408.3	554.71	11.015	20.298	12.962	7.189	3.742	38.017	10.342	10.05	9.577
234994_at	15.111	24.206	25.259	1980.3	2844.6	2599.3	3.177	19.635	45.448	204.13	61.973	90.301
235059_at	58.984	169.7	75.786	9.646	7.575	5.251	817.93	798.7	758.08	6.926	6.553	4.945
235275_at	169.12	129.55	124.62	137.08	166.86	179.78	142.77	104.42	153.64	17723	16322	15579
235383_at	5677.2	4746.1	4577.6	16.675	22.582	20.088	22.461	36.568	33.444	64.036	16.494	21.327
235385_at	3.921	17.986	15.059	4.105	5.797	2.377	299.16	422.73	245.66	3.44	20.757	3.478
235400_at	3.36	4.408	12.438	1053.4	315.97	714.14	5104.9	4984.2	4288.8	5.898	57.056	16.466
235401_s_at	34.201	11.733	18.949	1227.8	517.23	445.02	5769.4	4297.4	5582.4	3.999	101.25	32.443
235522_at	10.556	11.107	24.758	42.264	24.324	27.212	407.86	397.41	411.23	10.68	27.851	4.582
235549_at	49.861	88.295	65.599	4.826	12.049	8.146	671.54	313.92	484.65	9.918	11.26	11.772
235557_at	8.289	6.75	7.87	14.415	10.852	9.649	488.52	435.98	485.11	8.553	10.54	12.361
235574_at	8.832	3.513	18.168	180.91	299.46	305.04	4.327	9.03	6.827	5.873	18.617	5.001
235593_at	10.785	9.087	10.244	3.803	5.88	2.401	50.849	6.099	52.974	1063.8	1084.6	933.07
235638_at	63.82	28.999	41.645	40.825	57.921	49.093	2755.5	2235.3	2328.8	49.226	48.441	71.11
236191_at	86.425	66.624	15.935	10.204	16.185	4.47	1104.4	907.34	1069.3	194.17	276.5	283.24
236280_at	9.555	3.711	5.994	3973.3	3947.6	3697.2	404.16	228.96	473.01	198.46	5.109	11.24
236351_at	2817.8	3197.5	3612.4	97.61	22.97	11.781	67.562	23.259	53.122	7.064	44.907	57.639
236632_at	6561	6337.1	6005.8	26.517	94.218	27.374	22.839	24.934	50.289	128.08	99.403	44.317
236681_at	2375.8	2281.5	2691.4	89.95	35.423	9.449	103.21	6.623	79.043	22.765	114.09	103.57
237265_at	16.9	6.058	12.036	6.707	12.15	8.363	14.777	10.102	11.436	1331.9	1621.7	1662.4
237466_s_at	578.84	852.83	826.97	4.551	9.005	13.712	5.625	4.985	9.159	23.881	5.15	15.58
238206_at	22.528	8.074	40.685	5.964	30.795	4.743	7.448	21.438	4.997	1162.1	1024.4	996.95
238365_s_at	6.272	11.238	6.404	6.675	29.688	3.91	72.366	90.309	19.119	3878.3	4195.3	3252.8
238605_at	99.538	17.122	24.446	1160.9	1630.6	1630	4.834	15.649	46.961	81.21	21.614	9.023
238674_at	64.098	8.649	82.627	14.178	28.381	16.488	769.82	716.42	557.25	37.429	18.355	21.511
238692_at	424.55	506.3	371.36	15.623	9.273	22.046	2.719	10.469	8.177	14.613	40.497	7.078
239012_at	75.378	48.998	74.877	100.12	37.136	49.027	2235.2	3163	1584.6	57.947	100.96	69.747
239108_at	38.812	43.535	18.632	30.402	6.429	3.593	5.753	8.373	41.982	1123.5	1305.3	1241.4
239178_at	345.54	434.18	400.88	8.433	1.819	2.738	25.041	14.75	6.862	1.237	0.578	1.944
239292_at	8.314	5.742	11.388	7.788	5.509	7.527	202.19	290.7	220.86	3.759	16.472	4.777
239481_at	204.51	71.787	177.39	4526.6	4051.7	3913.3	105.43	61.782	25.966	527.46	140.92	272.37
239503_at	19.322	4.846	3.7	17.864	2.865	22.833	2.854	4.82	2.264	945.38	713.05	747.92
239913_at	6.13	0.671	2.865	26.373	3.841	2.314	21.897	13.804	0.953	1032.5	1366.2	1209.4
240915_at	75.552	22.391	16.196	85.481	89.035	48.282	2022.6	1728.2	1408.8	66.486	51.375	58.881
241365_at	811.07	1362.3	825.62	0.704	3.579	2.29	1.162	1.935	2.4	1681.6	1877	1982.8
242277_at	3.784	10.008	12.193	6.447	6.786	13.631	9.021	3.221	4.907	729.05	1003.4	993.82
242301_at	265.11	66.954	185.18	3195.5	3632.9	3730.2	124.17	15.958	175.01	375.76	14.501	203.07
242334_at	8.684	5.986	6.548	7.582	21.987	10.812	1491.9	1688.8	1085.5	18.919	17.596	20.343
242520_s_at	7.193	1.115	3.076	1.457	3.556	1.512	3.994	32.794	5.631	2386.8	2293.1	2104.9
243110_x_at	891.63	479.38	666.01	1.717	5.244	2.198	2.239	2.175	1.987	8.631	1.945	2.476
243753_at	84.247	23.004	55.548	3211.4	1739.8	1522.8	32.275	14.241	74.269	202.58	29.903	127.23
243756_at	8.887	3.521	9.856	3.935	4.223	4.879	3.283	5.843	11.973	387.88	798.64	697.77
244040_at	28.004	9.943	16.229	87.937	52.453	13.141	1409.1	1753.2	1186.1	20.064	46.693	21.124
244413_at	81.044	34.758	10.128	13.443	23.828	10.699	2193	1659.5	2778.7	23.149	114.83	29.722
244644_at	102.28	51.541	17.126	8100.4	6102.7	6347	13.123	43.066	42.924	711.39	61.596	262.39
244887_at	107.86	6.075	4.202	22.075	26.271	81.411	1444.1	864	1236.5	73.131	24.047	56.436
31874_at	2033.3	2323.1	2333.6	15.349	6.085	6.866	3.778	5.977	4.257	184.52	243.52	292.81
33767_at	41.554	27.326	34.674	5.268	19.519	9.121	24.613	30.947	13.771	1020.3	1599.6	1372.8
34210_at	125.42	116.07	76.991	20.583	9.257	14.723	7414.8	7133.5	5808.9	91.082	516.98	244.16
39248_at	3669.2	3584	3202.3	28.279	57.723	16.752	27.421	36.625	35.875	450.24	479.5	441.65
39318_at	139.4	55.635	102.92	86.364	83.017	122.86	11397	12604	9039.6	19.335	240.78	123.99
40284_at	38.491	11.638	47.086	1095.5	879.08	834.41	9.881	6.93	13.161	14.021	8.597	11.28
